"Genome ID","Genome Name","Contig","Match ID","Group","Inc Match","Percent Identity","Match Coverage","Contig Start","Contig End","Reference Start","Reference End"
"6217aad3ccb8a827b368bbe7","380_13","NODE_156_length_10511_cov_3.412993","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,1810,2229,420,1
"6217aad3ccb8a827b368bbe7","380_13","NODE_199_length_6541_cov_3.392824","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,3242,3781,540,1
"6217aad3ccb8a8348568bbe8","B103_10","NODE_95_length_13273_cov_3.319367","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,4857,5396,1,540
"6217aad3ccb8a8348568bbe8","B103_10","NODE_164_length_3683_cov_3.347284","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,39,458,1,420
"6217aad3ccb8a8ad3368bbed","B009_11","NODE_61_length_21733_cov_4.926817","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,5358,5777,1,420
"6217aad3ccb8a8ad3368bbed","B009_11","NODE_64_length_20205_cov_4.557278","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,7709,8248,1,540
"6217aad3ccb8a82aa268bbee","270_13","NODE_410_length_1634_cov_2.787043","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,10,549,1,540
"6217aad3ccb8a82aa268bbee","270_13","NODE_440_length_1314_cov_2.330912","IncHI1A_1__AF250878","all","IncHI1A_1",99.286,100,279,698,420,1
"6217aad3ccb8a8659b68bbf3","B098_10","NODE_60_length_23844_cov_3.743363","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,16471,17010,540,1
"6217aad3ccb8a8659b68bbf3","B098_10","NODE_62_length_22347_cov_3.680645","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,15666,16085,420,1
"614dd3dd36a4e229b2a39bb5","YA00021929","NODE_46_length_42996_cov_39.827261","IncFIB(K)_1__JN233704","all","IncFIB(K)_1",98.929,100,5046,5605,1,560
"614dd3dd36a4e2a51ca39bb6","YA00090059","NODE_82_length_18874_cov_67.595952","IncN_1__AY046276","all","IncN_1",100,100,17884,18397,1,514
"614dd3dd36a4e29a44a39bba","YA00202064","NODE_103_length_11358_cov_3.787104","IncFIB(K)_1__JN233704","all","IncFIB(K)_1",98.929,100,5754,6313,560,1
"614dd3dd36a4e23f2ea39bbc","YA00113125","NODE_35_length_23986_cov_15.521623","IncN_1__AY046276","all","IncN_1",100,100,274,787,514,1
"614dd3dd36a4e25362a39bc1","YA00139852","NODE_33_length_36567_cov_52.775474","IncN_1__AY046276","all","IncN_1",100,100,18171,18684,514,1
"614dd3dd36a4e20ac8a39bc3","YA00140939","NODE_31_length_36567_cov_60.037841","IncN_1__AY046276","all","IncN_1",100,100,17884,18397,1,514
"614dd3dd36a4e22d5ea39bc4","YA00141526","NODE_39_length_18874_cov_57.404101","IncN_1__AY046276","all","IncN_1",100,100,17884,18397,1,514
"614dd3dd36a4e2ed53a39bc5","YA00142040","NODE_39_length_18874_cov_49.075846","IncN_1__AY046276","all","IncN_1",100,100,478,991,514,1
"614dd3dd36a4e27f33a39bc6","YA00143751","NODE_18_length_106804_cov_31.814631","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,25076,25950,1,875
"614dd3dd36a4e2789da39bcb","950427","NODE_31_length_57696_cov_47.352987","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,27948,28487,540,1
"614dd3dd36a4e2789da39bcb","950427","NODE_31_length_57696_cov_47.352987","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,41564,41983,1,420
"614dd3dd36a4e2789da39bcb","950427","NODE_53_length_31340_cov_49.735380","IncFIA(HI1)_1__AF250878","all","IncFIA(HI1)_1",100,100,525,912,1,388
"614dd3dd36a4e2dbeea39bcc","YA00158372","NODE_37_length_18885_cov_98.490951","IncN_1__AY046276","all","IncN_1",100,100,489,1002,514,1
"614dd3dd36a4e23e16a39bd0","CE04582194","NODE_41_length_7707_cov_111.387881","IncN_1__AY046276","all","IncN_1",100,100,281,794,514,1
"614dd3dd36a4e26491a39bd4","YA00195181","NODE_35_length_18850_cov_50.584982","IncN_1__AY046276","all","IncN_1",100,100,478,991,514,1
"614dd3dd36a4e21243a39bdb","YA00043990","NODE_168_length_2655_cov_89.213224","Col440I_1__CP023920","all","Col440I_1",94.737,100,1450,1563,114,1
"614dd3dd36a4e21243a39bdb","YA00043990","NODE_210_length_1348_cov_2.061649","IncFII(S)_1__CP000858","all","IncFII(S)_1",100,100,298,559,262,1
"614dd3dd36a4e21243a39bdb","YA00043990","NODE_334_length_782_cov_1.828697","IncFII(p96A)_1__JQ418521","all","IncFII(p96A)_1",97.753,100,80,613,1,534
"614dd3dd36a4e25273a39bed","YA00189817","NODE_36_length_18677_cov_87.068360","IncN_1__AY046276","all","IncN_1",100,100,17884,18397,1,514
"614dd3dd36a4e26836a39bf3","YA00091931","NODE_48_length_35601_cov_20.870627","IncFIB(K)_1__JN233704","all","IncFIB(K)_1",98.929,100,29914,30473,560,1
"614dd3dd36a4e268e1a39bf4","YA00056553","NODE_63_length_24345_cov_56.427741","IncN_1__AY046276","all","IncN_1",100,100,633,1146,514,1
"614dd3dd36a4e24208a39bfe","YA00089098","NODE_72_length_18992_cov_59.434394","IncN_1__AY046276","all","IncN_1",100,100,596,1109,514,1
"614dd3dd36a4e26fc2a39c01","LD02737579","NODE_19_length_106805_cov_25.683232","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,105408,106282,1,875
"614dd3dd36a4e27c63a39c03","YA00205687","NODE_36_length_16798_cov_16.638781","IncN_1__AY046276","all","IncN_1",100,100,953,1466,514,1
"614dd3dd36a4e20f85a39c05","CG04373503","NODE_34_length_28842_cov_29.937202","IncY_1__K02380","all","IncY_1",98.824,100,24948,25712,1,765
"614dd3dd36a4e255ffa39c08","YA00142291","NODE_27_length_45151_cov_70.190247","IncN_1__AY046276","all","IncN_1",100,100,18171,18684,514,1
"614dd3dd36a4e27a65a39c09","YA00143610","NODE_38_length_16323_cov_104.146758","IncN_1__AY046276","all","IncN_1",100,100,478,991,514,1
"614dd3dd36a4e20a73a39c13","YA00198597","NODE_39_length_16323_cov_54.080251","IncN_1__AY046276","all","IncN_1",100,100,15333,15846,1,514
"614dd3dd36a4e2aee1a39c17","YA00083817","NODE_59_length_24196_cov_115.709466","IncN_1__AY046276","all","IncN_1",100,100,23201,23714,1,514
"614dd3dd36a4e29376a39c19","YA00107814","NODE_117_length_1193_cov_2.134369","IncN_1__AY046276","all","IncN_1",100,100,411,924,514,1
"614dd3dd36a4e20fd8a39c1e","YA00022891","NODE_60_length_24667_cov_69.272143","IncN_1__AY046276","all","IncN_1",100,100,23200,23713,1,514
"614dd3dd36a4e21cd4a39c1f","YA00019832","NODE_81_length_6849_cov_38.323111","IncN_1__AY046276","all","IncN_1",100,100,5680,6193,1,514
"614dd3dd36a4e2821da39c24","YA00108972","NODE_154_length_6825_cov_29.723610","IncN_1__AY046276","all","IncN_1",100,100,633,1146,514,1
"614dd3dd36a4e28bc7a39c25","YA00022034","NODE_41_length_38820_cov_25.038377","IncX1_1__EU370913","all","IncX1_1",98.93,100,26009,26382,1,374
"614dd3dd36a4e21139a39c39","YA00209840","NODE_36_length_33945_cov_12.199752","pXuzhou21_1__CP001927","all","pXuzhou21_1",98.333,100,24533,25252,720,1
"614dd3dd36a4e2643ea39c3c","YA00109166","NODE_19_length_93214_cov_15.163126","IncY_1__K02380","all","IncY_1",99.477,100,67743,68507,1,765
"614dd3dd36a4e2712ca39c44","YA00135290","NODE_18_length_106805_cov_24.776329","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,94083,94957,875,1
"614dd3dd36a4e2dca7a39c49","YA00136478","NODE_30_length_42959_cov_35.404736","IncN_1__AY046276","all","IncN_1",100,100,18530,19043,514,1
"614dd3dd36a4e2c495a39c5b","YA00158370","NODE_37_length_18874_cov_90.903542","IncN_1__AY046276","all","IncN_1",100,100,17884,18397,1,514
"614dd3dd36a4e2b3b5a39c62","YA00172054","NODE_32_length_34016_cov_46.783353","IncN_1__AY046276","all","IncN_1",100,100,18171,18684,514,1
"614dd3dd36a4e2ffa3a39c6a","YA00167457","NODE_36_length_18874_cov_118.572357","IncN_1__AY046276","all","IncN_1",100,100,478,991,514,1
"614dd3dd36a4e2cdc1a39c71","YA00174489","NODE_38_length_16347_cov_123.132939","IncN_1__AY046276","all","IncN_1",100,100,478,991,514,1
"614dd3dd36a4e26260a39c79","YA00214540","NODE_36_length_16445_cov_75.945981","IncN_1__AY046276","all","IncN_1",100,100,15333,15846,1,514
"614dd3dd36a4e28a2da39c7b","YA00231359","NODE_150_length_4877_cov_2.803207","p0111_1__AP010962","all","p0111_1",98.531,100,950,1834,1,885
"614dd3dd36a4e2d6ada39c80","YA00208586","NODE_36_length_18948_cov_37.792456","IncN_1__AY046276","all","IncN_1",100,100,552,1065,514,1
"614dd3dd36a4e21c1ba39b73","YA00204897","NODE_50_length_6553_cov_51.324792","IncN_1__AY046276","all","IncN_1",100,100,5656,6169,1,514
"614dd3dd36a4e2865ba39b79","YA00196633","NODE_30_length_34016_cov_60.615974","IncN_1__AY046276","all","IncN_1",100,100,18171,18684,514,1
"614dd3dd36a4e2e620a39b7d","864091","NODE_47_length_34613_cov_15.796054","IncFIB(K)_1__JN233704","all","IncFIB(K)_1",98.929,100,28926,29485,560,1
"614dd3dd36a4e2f1f4a39b8a","YA00083501","NODE_40_length_42996_cov_36.401986","IncFIB(K)_1__JN233704","all","IncFIB(K)_1",98.929,100,37392,37951,560,1
"614dd3dd36a4e2d018a39b8d","YA00087047","NODE_57_length_24815_cov_101.340346","IncN_1__AY046276","all","IncN_1",100,100,23200,23713,1,514
"614dd3dd36a4e20ce6a39b8e","YA00088230","NODE_71_length_24308_cov_48.691933","IncN_1__AY046276","all","IncN_1",100,100,23200,23713,1,514
"614dd3dd36a4e24f5da39b99","YA00023706","NODE_43_length_44206_cov_28.943025","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,7630,8504,875,1
"614dd3dd36a4e2e682a39ba0","YA00024508","NODE_63_length_24449_cov_57.521520","IncN_1__AY046276","all","IncN_1",100,100,737,1250,514,1
"614dd3dd36a4e27653a39ba8","YA00029460","NODE_67_length_25788_cov_38.558994","IncN_1__AY046276","all","IncN_1",100,100,24385,24898,1,514
"614dd3dd36a4e23ea9a39baf","YA00053976","NODE_120_length_5279_cov_48.175517","Col156_1__NC_009781","all","Col156_1",96.753,100,2891,3044,1,154
"614dd3dd36a4e22fb5a39bb0","YA00101311","NODE_11_length_106804_cov_60.161370","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,62565,63439,875,1
"614dd0a5487730fa45dab105","NZ17ER0958","NODE_19_length_106781_cov_17.889125","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,79956,80830,1,875
"614dd0a54877309aacdab107","NZ14ER0695","NODE_26_length_49447_cov_5.591206","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,43475,44349,1,875
"614dd0a54877300adbdab108","NZ14ER0684","NODE_41_length_10744_cov_2.358196","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,3424,4298,875,1
"614dd0a5487730bba5dab0b9","NZ20ER0936","NODE_53_length_27376_cov_10.659207","IncY_1__K02380","all","IncY_1",98.824,100,23506,24270,1,765
"614dd0a548773013ffdab0bb","NZ20ER0743","NODE_20_length_106781_cov_17.655137","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,23493,24367,875,1
"614dd0a548773053b6dab0bc","NZ20ER0483","NODE_20_length_102751_cov_33.257706","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,576,1450,875,1
"614dd0a54877302100dab0bd","NZ20ER0481","NODE_18_length_106781_cov_50.420511","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,3915,4789,875,1
"614dd0a5487730b0b6dab0cd","NZ19ER4773","NODE_21_length_106805_cov_24.089405","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,57270,58144,875,1
"614dd0a54877303974dab0e2","NZ17ER1942","NODE_19_length_106781_cov_13.974434","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,71294,72168,875,1
"614dd0a54877305114dab0e4","NZ17ER1896","NODE_18_length_106785_cov_12.621638","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,90133,91007,875,1
"614dd0a5487730e642dab0ea","NZ17ER1348","NODE_18_length_106785_cov_24.498173","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,70086,70960,875,1
"614dd0a54877307ef1dab0eb","NZ17ER1345","NODE_18_length_106785_cov_24.168841","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,31983,32857,1,875
"614dd0a548773051ffdab0ee","NZ17ER1204","NODE_18_length_106785_cov_14.113223","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,59177,60051,1,875
"614ce94a36a4e28302a38e7e","818192","NODE_18_length_106681_cov_32.328115","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,25952,26826,875,1
"614ce94a36a4e21fbfa38e7f","814896","NODE_17_length_106781_cov_29.300967","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,30077,30951,1,875
"614ce94a36a4e27feca38e82","818985","NODE_16_length_106781_cov_39.052312","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,105530,106404,1,875
"614ce94a36a4e2eeeea38e83","818979","NODE_17_length_106781_cov_44.252319","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,761,1635,1,875
"614ce94a36a4e25163a38e85","820112","NODE_15_length_106781_cov_47.000843","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,105530,106404,1,875
"614ce94a36a4e27f50a38e88","821070","NODE_17_length_106781_cov_23.759910","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,555,1429,875,1
"614ce94a36a4e268fba38e8f","821162","NODE_19_length_106781_cov_35.878095","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,105656,106530,1,875
"614ce94a36a4e2ee74a38e91","823529","NODE_17_length_106781_cov_19.772927","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,15199,16073,875,1
"614ce94a36a4e2152ea38e97","825146","NODE_40_length_16169_cov_66.544116","IncN_1__AY046276","all","IncN_1",100,100,15309,15822,1,514
"614ce94a36a4e27b79a38ea7","835830","NODE_17_length_106781_cov_35.781137","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,144,1018,875,1
"614ce94a36a4e2c394a38ead","839933","NODE_18_length_106781_cov_33.507413","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,59126,60000,1,875
"614ce94a36a4e2f00aa38eae","841382","NODE_18_length_106781_cov_24.928495","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,30077,30951,1,875
"614ce94a36a4e25569a38eb2","842004","NODE_17_length_106781_cov_41.359558","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,63731,64605,1,875
"614ce94a36a4e2f33da38eb6","850031","NODE_18_length_106780_cov_22.799616","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,349,1223,875,1
"614ce94a36a4e2ab9aa38eb7","851912","NODE_17_length_106781_cov_35.631455","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,29749,30623,1,875
"614ce94a36a4e28b09a38ec1","859986","NODE_34_length_42319_cov_17.822200","IncY_1__K02380","all","IncY_1",99.477,100,5285,6049,765,1
"614ce94a36a4e278d9a38ec4","863398","NODE_18_length_106781_cov_31.379679","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,51351,52225,875,1
"614ce94a36a4e21acba38e0e","758126","NODE_47_length_7669_cov_76.522649","IncN_1__AY046276","all","IncN_1",100,100,267,780,514,1
"614ce94a36a4e24bc6a38e0f","758748","NODE_39_length_20574_cov_61.036587","IncFII(pCRY)_1__NC_005814","all","IncFII(pCRY)_1",94.266,100,13258,13850,1,593
"614ce94a36a4e206d5a38e1d","774358","NODE_17_length_106781_cov_20.586949","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,25952,26826,875,1
"614ce94a36a4e2bccea38e1e","780222","NODE_27_length_53009_cov_39.149753","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,12750,13169,420,1
"614ce94a36a4e2bccea38e1e","780222","NODE_27_length_53009_cov_39.149753","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,26246,26785,1,540
"614ce94a36a4e2bccea38e1e","780222","NODE_39_length_32500_cov_36.837594","IncFIA(HI1)_1__AF250878","all","IncFIA(HI1)_1",100,100,31614,32001,388,1
"614ce94a36a4e2fbc3a38e2a","785009","NODE_18_length_106781_cov_18.746631","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,49228,50102,1,875
"614ce94a36a4e23c81a38e2b","787550","NODE_28_length_52994_cov_41.298494","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,16066,16485,420,1
"614ce94a36a4e23c81a38e2b","787550","NODE_28_length_52994_cov_41.298494","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,29562,30101,1,540
"614ce94a36a4e2df9aa38e30","788281","NODE_17_length_106781_cov_23.845416","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,90708,91582,1,875
"614ce94a36a4e2822ca38e32","790462","NODE_19_length_106781_cov_20.998960","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,23842,24716,875,1
"614ce94a36a4e220d7a38e44","802699","NODE_37_length_28794_cov_17.687245","IncY_1__K02380","all","IncY_1",98.824,100,3107,3871,765,1
"614ce94a36a4e23a69a38e45","802737","NODE_17_length_106781_cov_19.950790","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,36969,37843,875,1
"614ce94a36a4e2c05ba38e46","802698","NODE_18_length_106781_cov_22.057419","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,25853,26727,1,875
"614ce94a36a4e21f40a38e47","802812","NODE_49_length_7669_cov_50.509349","IncN_1__AY046276","all","IncN_1",100,100,267,780,514,1
"614ce94a36a4e2adada38e57","806073","NODE_17_length_106781_cov_27.753613","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,105656,106530,1,875
"614ce94a36a4e25105a38e5d","810028","NODE_17_length_106781_cov_23.378451","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,30059,30933,1,875
"614ce94a36a4e27547a38e62","806326","NODE_17_length_106781_cov_31.442862","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,59126,60000,1,875
"614ce94a36a4e2b360a38e64","814338","NODE_26_length_57671_cov_22.184891","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,15690,16109,420,1
"614ce94a36a4e2b360a38e64","814338","NODE_26_length_57671_cov_22.184891","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,29186,29725,1,540
"614ce94a36a4e2ae6ba38e66","814350","NODE_17_length_106781_cov_22.762356","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,105584,106458,875,1
"614ce94a36a4e27225a38e68","808819","NODE_17_length_106781_cov_29.896351","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,90872,91746,1,875
"614ce94a36a4e256c8a38e69","806323","NODE_17_length_106781_cov_32.544655","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,57279,58153,875,1
"614ce94a36a4e20f47a38e6a","812118","NODE_18_length_106781_cov_28.799290","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,105470,106344,1,875
"614ce94a36a4e25359a38e6b","812074","NODE_17_length_106781_cov_34.873953","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,46782,47656,875,1
"614ce94936a4e25f67a38d59","620459","NODE_18_length_106781_cov_21.343626","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,30082,30956,1,875
"614ce94936a4e2f334a38d5e","654713","NODE_17_length_106781_cov_28.880681","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,63848,64722,1,875
"614ce94a36a4e261b2a38d60","656788","NODE_18_length_106781_cov_17.482691","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,59177,60051,1,875
"614ce94a36a4e2e03da38d65","660433","NODE_18_length_106474_cov_11.461762","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,41369,42243,1,875
"614ce94a36a4e22699a38d68","661077","NODE_16_length_106781_cov_25.679165","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,46782,47656,875,1
"614ce94a36a4e298dea38d6a","668824","NODE_17_length_106781_cov_17.855416","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,59126,60000,1,875
"614ce94a36a4e2a229a38d6c","670218","NODE_17_length_106781_cov_22.732199","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,59341,60215,875,1
"614ce94a36a4e23350a38d6f","632992","NODE_16_length_106781_cov_37.587287","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,143,1017,875,1
"614ce94a36a4e2c1bea38d76","620447","NODE_16_length_106781_cov_13.896248","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,59126,60000,1,875
"614ce94a36a4e2fec3a38d78","613095","NODE_18_length_106781_cov_19.844226","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,25952,26826,875,1
"614ce94a36a4e28257a38d7a","553786","NODE_17_length_106781_cov_13.116029","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,15501,16375,875,1
"614ce94a36a4e25e6da38d7d","621770","NODE_16_length_106781_cov_40.697683","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,46782,47656,875,1
"614ce94a36a4e2399ca38d83","539015","NODE_28_length_57695_cov_10.677733","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,27971,28510,540,1
"614ce94a36a4e2399ca38d83","539015","NODE_28_length_57695_cov_10.677733","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,41587,42006,1,420
"614ce94a36a4e24a9da38d87","550675","NODE_27_length_57667_cov_25.665613","IncHI1B(R27)_1_R27_AF250878","all","IncHI1B(R27)_1",100,100,27943,28482,540,1
"614ce94a36a4e24a9da38d87","550675","NODE_27_length_57667_cov_25.665613","IncHI1A_1__AF250878","all","IncHI1A_1",99.762,100,41559,41978,1,420
"614ce94a36a4e202b3a38d89","546605","NODE_17_length_106781_cov_27.778550","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,105904,106778,1,875
"614ce94a36a4e24a91a38d8c","675723","NODE_17_length_106781_cov_11.928373","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,90849,91723,1,875
"614ce94a36a4e2831ca38d8d","674359","NODE_18_length_106781_cov_37.979701","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,29966,30840,1,875
"614ce94a36a4e2a65fa38d91","674360","NODE_18_length_106781_cov_32.959327","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,42460,43334,875,1
"614ce94a36a4e2eaffa38d93","510184","NODE_80_length_22051_cov_11.737714","IncFIB(pHCM2)_1__AL513384","all","IncFIB(pHCM2)_1",100,100,3447,4321,875,1
"614ce94a36a4e2eaffa38d93","510184","NODE_236_length_3783_cov_3.186084","IncFII(pSE11)_1__AP009242","all","IncFII(pSE11)_1",94.34,100,1113,1372,264,1
"614ce94a36a4e2ca78a38d9a","503452","NODE_31_length_39859_cov_42.265685","IncX3_1__JN247852","all","IncX3_1",100,100,5322,5695,374,1
